2025-08-21 14:55:51, 29.5°C, 2.97°C, 50.88%, 672.22W/m², 0.0782%, 4.53%
2025-08-21 14:55:56, 19.15°C, 1.2°C, 55.98%, 536.57W/m², 0.0705%, 4.88%
2025-08-21 14:56:01, 24.58°C, 2.45°C, 58.63%, 635.45W/m², 0.0921%, 5.59%
2025-08-21 14:56:06, 24.44°C, 5.56°C, 56.79%, 689.55W/m², 0.0852%, 5.34%
2025-08-21 14:56:11, 28.62°C, 19.31°C, 58.71%, 577.44W/m², 0.0938%, 4.09%
2025-08-21 14:56:16, 19.92°C, 6.02°C, 57.48%, 655.67W/m², 0.0329%, 6.57%
2025-08-21 14:56:21, 20.15°C, 1.6°C, 53.21%, 690.78W/m², 0.0391%, 5.52%
2025-08-21 14:56:26, 18.42°C, 13.21°C, 59.35%, 517.85W/m², 0.0915%, 4.72%
2025-08-21 14:56:31, 19.9°C, 19.92°C, 50.6%, 516.69W/m², 0.0247%, 4.45%
2025-08-21 14:56:36, 19.95°C, 4.74°C, 50.49%, 660.63W/m², 0.0456%, 5.67%
2025-08-21 14:56:41, 25.16°C, 11.0°C, 58.71%, 583.93W/m², 0.0384%, 4.55%
2025-08-21 14:56:46, 22.9°C, 15.32°C, 54.47%, 647.61W/m², 0.0786%, 6.55%
2025-08-21 14:56:51, 18.82°C, 7.21°C, 53.06%, 669.75W/m², 0.0604%, 5.74%
2025-08-21 14:56:56, 19.89°C, 20.42°C, 59.54%, 686.27W/m², 0.0314%, 6.86%
2025-08-21 14:57:01, 23.8°C, 15.15°C, 55.93%, 708.67W/m², 0.024%, 6.32%
2025-08-21 14:57:06, 21.92°C, 20.4°C, 57.15%, 501.56W/m², 0.0292%, 4.2%
2025-08-21 14:57:11, 28.71°C, 4.63°C, 51.66%, 510.65W/m², 0.0317%, 6.01%
2025-08-21 14:57:16, 25.35°C, 10.39°C, 59.6%, 629.13W/m², 0.0323%, 6.49%
2025-08-21 14:57:21, 18.45°C, 9.23°C, 52.17%, 533.62W/m², 0.0761%, 5.06%
2025-08-21 14:57:26, 23.7°C, 0.43°C, 56.25%, 541.21W/m², 0.0882%, 5.93%
2025-08-21 14:57:31, 21.41°C, 20.9°C, 57.96%, 549.42W/m², 0.0476%, 4.44%
2025-08-21 14:57:36, 22.42°C, 7.32°C, 58.91%, 624.33W/m², 0.0949%, 4.04%
2025-08-21 14:57:41, 29.91°C, 1.45°C, 57.75%, 695.83W/m², 0.092%, 5.38%
2025-08-21 14:57:46, 21.72°C, 8.01°C, 59.26%, 587.47W/m², 0.0958%, 4.94%
2025-08-21 14:57:51, 21.39°C, 11.57°C, 56.37%, 629.15W/m², 0.0924%, 4.84%
2025-08-21 14:57:56, 29.3°C, 12.31°C, 57.94%, 626.74W/m², 0.098%, 4.02%
2025-08-21 14:58:01, 26.43°C, 14.93°C, 54.96%, 638.05W/m², 0.0497%, 6.48%
2025-08-21 14:58:06, 21.88°C, 9.88°C, 58.22%, 509.17W/m², 0.096%, 6.02%
2025-08-21 14:58:11, 27.27°C, 5.08°C, 55.57%, 675.86W/m², 0.0455%, 5.67%
2025-08-21 14:58:16, 18.17°C, 17.08°C, 58.55%, 705.25W/m², 0.0222%, 6.73%
2025-08-21 14:58:21, 23.41°C, 9.35°C, 56.39%, 698.84W/m², 0.0741%, 4.24%
2025-08-21 14:58:26, 24.85°C, 6.14°C, 51.28%, 563.33W/m², 0.0515%, 6.77%
2025-08-21 14:58:31, 18.49°C, 16.66°C, 53.2%, 648.68W/m², 0.0584%, 4.31%
